,Status of existing checking account,Duration,Credit history,Purpose_business,Purpose_car (new),Purpose_car (used),Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_others,Purpose_radio/television,Purpose_repairs,Purpose_retraining,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Sex,Other debtors_co-applicant,Other debtors_guarantor,Other debtors_none,Present residence since,Age,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker
0,1,6,0,0,0,0,0,0,0,0,1,0,0,1169,0,4,4,0,0,0,1,4,67,1,2,2,1,1,1
1,2,48,3,0,0,0,0,0,0,0,1,0,0,5951,1,2,2,1,0,0,1,2,22,1,1,2,1,0,1
2,0,12,0,0,0,0,0,1,0,0,0,0,0,2096,1,3,2,0,0,0,1,3,49,1,1,1,2,0,1
3,1,42,3,0,0,0,0,0,1,0,0,0,0,7882,1,3,2,0,0,1,0,4,45,2,1,2,2,0,1
4,1,24,1,0,1,0,0,0,0,0,0,0,0,4870,1,2,3,0,0,0,1,4,53,2,2,2,2,0,1
5,0,36,3,0,0,0,0,1,0,0,0,0,0,9055,0,2,2,0,0,0,1,4,35,2,1,1,2,1,1
6,0,24,3,0,0,0,0,0,1,0,0,0,0,2835,3,4,3,0,0,0,1,4,53,1,1,2,1,0,1
7,2,36,3,0,0,1,0,0,0,0,0,0,0,6948,1,2,2,0,0,0,1,2,35,0,1,3,1,1,1
8,0,12,3,0,0,0,0,0,0,0,1,0,0,3059,4,3,2,0,0,0,1,4,61,1,1,1,1,0,1
9,2,30,0,0,1,0,0,0,0,0,0,0,0,5234,1,0,4,0,0,0,1,2,28,1,2,3,1,0,1
10,2,12,3,0,1,0,0,0,0,0,0,0,0,1295,1,1,3,1,0,0,1,1,25,0,1,2,1,0,1
11,1,48,3,1,0,0,0,0,0,0,0,0,0,4308,1,1,3,1,0,0,1,4,24,0,1,2,1,0,1
12,2,12,3,0,0,0,0,0,0,0,1,0,0,1567,1,2,1,1,0,0,1,1,22,1,1,2,1,1,1
13,1,24,0,0,1,0,0,0,0,0,0,0,0,1199,1,4,4,0,0,0,1,4,60,1,2,1,1,0,1
14,1,15,3,0,1,0,0,0,0,0,0,0,0,1403,1,2,2,1,0,0,1,4,28,0,1,2,1,0,1
15,1,24,3,0,0,0,0,0,0,0,1,0,0,1282,2,2,4,1,0,0,1,2,32,1,1,1,1,0,1
16,0,24,0,0,0,0,0,0,0,0,1,0,0,2424,0,4,4,0,0,0,1,4,53,1,2,2,1,0,1
17,1,30,2,1,0,0,0,0,0,0,0,0,0,8072,0,1,2,0,0,0,1,3,25,1,3,2,1,0,1
18,2,24,3,0,0,1,0,0,0,0,0,0,0,12579,1,4,4,1,0,0,1,2,44,2,1,3,1,1,1
19,0,24,3,0,0,0,0,0,0,0,1,0,0,3430,3,4,3,0,0,0,1,2,31,1,1,2,2,1,1
20,0,9,0,0,1,0,0,0,0,0,0,0,0,2134,1,2,4,0,0,0,1,4,48,1,3,2,1,1,1
21,1,6,3,0,0,0,0,0,0,0,1,0,0,2647,3,2,2,0,0,0,1,3,44,0,1,2,2,0,1
22,1,10,0,0,1,0,0,0,0,0,0,0,0,2241,1,1,1,0,0,0,1,3,48,0,2,1,2,0,0
23,2,12,0,0,0,1,0,0,0,0,0,0,0,1804,2,1,3,0,0,0,1,4,44,1,1,2,1,0,1
24,0,10,0,0,0,0,0,0,1,0,0,0,0,2069,0,2,2,0,0,0,1,1,26,1,2,2,1,0,0
25,1,6,3,0,0,0,0,0,1,0,0,0,0,1374,1,2,1,0,0,0,1,2,36,1,1,1,1,1,1
26,0,6,2,0,0,0,0,0,0,0,1,0,0,426,1,4,4,0,0,0,1,4,39,1,1,1,1,0,1
27,3,12,4,0,0,0,0,0,0,0,1,0,0,409,4,2,3,1,0,0,1,3,42,0,2,2,1,0,1
28,2,7,3,0,0,0,0,0,0,0,1,0,0,2415,1,2,3,0,0,1,0,2,34,1,1,2,1,0,1
29,1,60,1,1,0,0,0,0,0,0,0,0,0,6836,1,4,3,0,0,0,1,4,63,1,2,2,1,1,1
30,2,18,3,1,0,0,0,0,0,0,0,0,0,1913,4,1,3,0,0,0,1,3,36,1,1,2,1,1,1
31,1,24,3,0,0,0,0,0,1,0,0,0,0,4020,1,2,2,0,0,0,1,2,27,1,1,2,1,0,1
32,2,18,3,0,1,0,0,0,0,0,0,0,0,5866,2,2,2,0,0,0,1,2,30,1,2,2,1,1,1
33,0,12,0,1,0,0,0,0,0,0,0,0,0,1264,0,4,4,0,0,0,1,4,57,0,1,1,1,0,1
34,3,12,3,0,0,0,0,0,1,0,0,0,0,1474,1,1,4,1,0,0,1,1,33,1,1,3,1,1,1
35,2,45,0,0,0,0,0,0,0,0,1,0,0,4746,1,1,4,0,0,0,1,2,25,1,2,1,1,0,1
36,0,48,0,0,0,0,0,1,0,0,0,0,0,6110,1,2,1,0,0,0,1,3,31,2,1,2,1,1,1
37,3,18,3,0,0,0,0,0,0,0,1,0,0,2100,1,2,4,0,1,0,0,2,37,1,1,2,1,0,1
38,3,10,3,0,0,0,1,0,0,0,0,0,0,1225,1,2,2,0,0,0,1,2,37,1,1,2,1,1,1
39,2,9,3,0,0,0,0,0,0,0,1,0,0,458,1,2,4,0,0,0,1,3,24,1,1,2,1,0,1
40,0,30,3,0,0,0,0,0,0,0,1,0,0,2333,3,4,4,0,0,0,1,2,30,1,1,3,1,0,1
41,2,12,3,0,0,0,0,0,0,0,1,0,0,1158,3,2,3,0,0,0,1,1,26,1,1,2,1,1,1
42,2,18,1,0,0,0,0,0,0,0,0,1,0,6204,1,2,2,0,0,0,1,4,44,1,1,1,2,1,1
43,1,30,0,0,0,1,0,0,0,0,0,0,0,6187,2,3,1,0,0,0,1,4,24,0,2,2,1,0,1
44,1,48,0,0,0,1,0,0,0,0,0,0,0,6143,1,4,4,1,0,0,1,4,58,2,2,1,1,0,1
45,0,11,0,0,1,0,0,0,0,0,0,0,0,1393,1,1,4,1,0,0,1,4,35,1,2,3,1,0,1
46,0,36,3,0,0,0,0,0,0,0,1,0,0,2299,3,4,4,0,0,0,1,4,39,1,1,2,1,0,1
47,1,6,3,0,0,1,0,0,0,0,0,0,0,1352,3,0,1,1,0,0,1,2,23,0,1,0,1,1,1
48,0,11,0,0,1,0,0,0,0,0,0,0,0,7228,1,2,1,0,0,0,1,4,39,1,2,1,1,0,1
49,0,12,3,0,0,0,0,0,0,0,1,0,0,2073,2,2,4,1,1,0,0,2,28,1,1,2,1,0,1
50,2,24,1,0,0,0,0,0,1,0,0,0,0,2333,0,1,4,0,0,0,1,2,29,1,1,1,1,0,1
51,2,27,1,0,0,1,0,0,0,0,0,0,0,5965,1,4,1,0,0,0,1,2,30,1,2,3,1,1,1
52,0,12,3,0,0,0,0,0,0,0,1,0,0,1262,1,2,3,0,0,0,1,2,25,1,1,2,1,0,1
53,0,18,3,0,0,1,0,0,0,0,0,0,0,3378,0,2,2,0,0,0,1,1,31,1,1,2,1,1,1
54,2,36,1,0,1,0,0,0,0,0,0,0,0,2225,1,4,4,0,0,0,1,4,57,2,2,2,1,1,1
55,0,6,4,0,1,0,0,0,0,0,0,0,0,783,0,2,1,0,0,1,0,2,26,1,1,1,2,0,1
56,2,12,3,0,0,0,0,0,0,0,1,0,0,6468,0,0,2,0,0,0,1,1,52,1,1,3,1,1,1
57,0,36,0,0,0,0,0,0,0,0,1,0,0,9566,1,2,2,1,0,0,1,2,31,1,2,2,1,0,1
58,3,18,3,0,1,0,0,0,0,0,0,0,0,1961,1,4,3,1,0,0,1,2,23,1,1,3,1,0,1
59,1,36,0,0,0,0,0,0,1,0,0,0,0,6229,1,1,4,1,1,0,0,4,23,0,2,1,1,1,1
60,2,9,3,1,0,0,0,0,0,0,0,0,0,1391,1,2,2,0,0,0,1,1,27,1,1,2,1,1,1
61,2,15,0,0,0,0,0,0,0,0,1,0,0,1537,0,4,4,0,0,1,0,4,50,1,2,2,1,1,1
62,2,36,2,1,0,0,0,0,0,0,0,0,0,1953,1,4,4,0,0,0,1,4,61,2,1,3,1,1,1
63,2,48,2,1,0,0,0,0,0,0,0,0,0,14421,1,2,2,0,0,0,1,2,25,1,1,2,1,1,1
64,0,24,3,0,0,0,0,0,0,0,1,0,0,3181,1,1,4,1,0,0,1,4,26,1,1,2,1,1,1
65,0,27,3,0,0,0,0,0,0,0,0,1,0,5190,0,4,4,0,0,0,1,4,48,1,4,2,2,1,1
66,0,12,3,0,0,0,0,0,0,0,1,0,0,2171,1,1,2,1,0,0,1,2,29,1,1,2,1,0,1
67,2,12,3,0,1,0,0,0,0,0,0,0,0,1007,4,2,4,0,0,0,1,1,22,1,1,2,1,0,1
68,0,36,3,0,0,0,0,1,0,0,0,0,0,1819,1,2,4,0,0,0,1,4,37,2,1,2,1,1,1
69,0,36,3,0,0,0,0,0,0,0,1,0,0,2394,0,2,4,1,0,0,1,4,25,1,1,2,1,0,1
70,0,36,3,0,0,1,0,0,0,0,0,0,0,8133,1,2,1,1,0,0,1,2,30,1,1,2,1,0,1
71,0,7,0,0,0,0,0,0,0,0,1,0,0,730,0,4,4,0,0,0,1,2,46,0,2,1,1,1,1
72,1,8,0,0,0,0,0,0,0,1,0,0,0,1164,1,4,3,0,0,0,1,4,51,2,2,3,2,1,1
73,2,42,0,1,0,0,0,0,0,0,0,0,0,5954,1,3,2,1,0,0,1,1,41,1,2,1,1,0,1
74,1,36,3,0,0,0,0,1,0,0,0,0,0,1977,0,4,4,0,0,0,1,4,40,1,1,3,1,1,1
75,1,12,0,0,0,1,0,0,0,0,0,0,0,1526,1,4,4,0,0,0,1,4,66,2,2,3,1,0,1
76,1,42,3,0,0,0,0,0,0,0,1,0,0,3965,1,1,4,0,0,0,1,3,34,1,1,2,1,0,1
77,2,11,1,0,0,0,0,0,0,0,1,0,0,4771,1,3,2,0,0,0,1,4,51,1,1,2,1,0,1
78,0,54,2,0,0,1,0,0,0,0,0,0,0,9436,0,2,2,0,0,0,1,2,39,1,1,1,2,0,1
79,2,30,3,0,0,0,0,0,1,0,0,0,0,3832,1,1,2,0,0,0,1,1,22,1,1,2,1,0,1
80,0,24,3,0,0,0,0,0,0,0,1,0,0,5943,0,1,1,1,0,0,1,1,44,1,2,2,1,1,1
81,0,15,3,0,0,0,0,0,0,0,1,0,0,1213,3,4,4,0,0,0,1,3,47,1,1,2,1,1,1
82,0,18,3,1,0,0,0,0,0,0,0,0,0,1568,2,2,3,1,0,0,1,4,24,0,1,1,1,0,1
83,1,24,3,0,0,0,0,0,0,1,0,0,0,1755,1,4,4,1,0,1,0,4,58,1,1,1,1,1,1
84,1,10,3,0,0,0,0,0,0,0,1,0,0,2315,1,4,3,0,0,0,1,4,52,1,1,1,1,0,1
85,0,12,0,1,0,0,0,0,0,0,0,0,0,1412,1,2,4,1,0,1,0,2,29,1,2,3,1,1,1
86,2,18,0,0,0,0,0,0,1,0,0,0,0,1295,1,1,4,1,0,0,1,1,27,1,2,2,1,0,1
87,2,36,3,0,0,0,0,1,0,0,0,0,0,12612,2,2,1,0,0,0,1,4,47,2,1,2,2,1,1
88,1,18,3,0,1,0,0,0,0,0,0,0,0,2249,2,3,4,0,0,0,1,3,30,1,1,3,2,1,1
89,1,12,2,0,0,0,0,0,0,0,0,1,0,1108,1,3,4,0,0,0,1,3,28,1,2,2,1,0,1
90,0,12,0,0,0,0,0,0,0,0,1,0,0,618,1,4,4,0,0,0,1,4,56,1,1,2,1,0,1
91,1,12,0,0,0,1,0,0,0,0,0,0,0,1409,1,4,4,0,0,0,1,3,54,1,1,2,1,0,1
92,0,12,0,0,0,0,0,0,0,0,1,0,0,797,0,4,4,1,0,0,1,3,33,1,1,1,2,0,1
93,3,24,0,0,0,0,0,0,1,0,0,0,0,3617,0,4,4,0,1,0,0,4,20,0,2,2,1,0,1
94,2,12,3,0,1,0,0,0,0,0,0,0,0,1318,4,4,4,0,0,0,1,4,54,1,1,2,1,1,1
95,2,54,2,1,0,0,0,0,0,0,0,0,0,15945,1,1,3,0,0,0,1,4,58,0,1,2,1,1,1
96,0,12,0,0,0,0,0,1,0,0,0,0,0,2012,0,3,4,1,0,0,1,2,61,1,1,2,1,0,1
97,2,18,3,1,0,0,0,0,0,0,0,0,0,2622,2,2,4,0,0,0,1,4,34,1,1,2,1,0,1
98,2,36,0,0,0,0,0,0,0,0,1,0,0,2337,1,4,4,0,0,0,1,4,36,1,1,2,1,0,1
99,2,20,1,0,0,1,0,0,0,0,0,0,0,7057,0,3,3,0,0,0,1,4,36,0,2,3,2,1,1
100,0,24,3,0,1,0,0,0,0,0,0,0,0,1469,2,4,4,0,0,0,1,4,41,0,1,1,1,0,1
101,2,36,3,0,0,0,0,0,0,0,1,0,0,2323,1,3,4,0,0,0,1,4,24,0,1,2,1,0,1
102,0,6,1,0,0,0,0,0,0,0,1,0,0,932,1,2,3,1,0,0,1,2,24,1,1,2,1,0,1
103,2,9,0,0,0,0,0,0,1,0,0,0,0,1919,1,3,4,0,0,0,1,3,35,0,1,2,1,1,1
104,0,12,3,0,0,1,0,0,0,0,0,0,0,2445,0,1,2,0,0,0,1,4,26,0,1,2,1,1,1
105,2,24,0,0,0,0,0,0,0,1,0,0,0,11938,1,2,2,0,1,0,0,3,39,1,2,3,2,1,1
106,0,18,4,0,1,0,0,0,0,0,0,0,0,6458,1,4,2,0,0,0,1,4,39,1,2,3,2,1,1
107,2,12,3,0,1,0,0,0,0,0,0,0,0,6078,1,3,2,0,0,0,1,2,32,1,1,2,1,0,1
108,1,24,3,0,0,0,0,0,1,0,0,0,0,7721,0,1,1,1,0,0,1,2,30,1,1,2,1,1,0
109,2,14,3,1,0,0,0,0,0,0,0,0,0,1410,3,4,1,0,0,0,1,2,35,1,1,2,1,1,1
110,2,6,1,1,0,0,0,0,0,0,0,0,0,1449,2,4,1,0,0,0,1,2,31,1,2,2,2,0,1
111,3,15,3,0,0,0,0,1,0,0,0,0,0,392,1,1,4,1,0,0,1,4,23,0,1,2,1,1,1
112,2,18,3,0,1,0,0,0,0,0,0,0,0,6260,1,3,3,0,0,0,1,3,28,0,1,1,1,0,1
113,0,36,0,0,1,0,0,0,0,0,0,0,0,7855,1,2,4,1,0,0,1,2,25,1,2,2,1,1,1
114,1,12,3,0,0,0,0,0,0,0,1,0,0,1680,3,4,3,0,0,0,1,1,35,1,1,2,1,0,1
115,0,48,0,0,0,0,0,0,0,0,1,0,0,3578,0,4,4,0,0,0,1,1,47,1,1,2,1,1,1
116,1,42,3,0,0,0,0,0,0,0,1,0,0,7174,0,3,4,1,0,0,1,3,30,1,1,3,1,1,1
117,1,10,0,0,0,0,0,0,1,0,0,0,0,2132,0,1,2,1,1,0,0,3,27,0,2,2,1,0,0
118,1,33,0,0,0,0,0,0,1,0,0,0,0,4281,3,2,1,1,0,0,1,4,23,1,2,2,1,0,1
119,2,12,0,0,1,0,0,0,0,0,0,0,0,2366,3,3,3,0,0,0,1,3,36,1,1,3,1,1,1
120,1,21,3,0,0,0,0,0,0,0,1,0,0,1835,1,2,3,1,0,0,1,2,25,1,2,2,1,1,1
121,0,24,0,0,0,1,0,0,0,0,0,0,0,3868,1,4,4,1,0,0,1,2,41,0,2,3,1,1,1
122,0,12,3,0,0,0,0,0,1,0,0,0,0,1768,1,2,3,0,0,0,1,2,24,0,1,1,1,0,1
